id,title,salary,address,educational,workExperience,companyPeople,companyNature,companyTitle,type,avg_salary,salary_low,salary_high,salary_issue,is_outlier,city
41729,数据分析师,20K-40K,北京,本科,5-10年,500-1000人,上市公司,北京三快在线科技有限公司,数据分析,30.0,20.0,40.0,,False,北京
41728,数据分析,12K-20K,苏州,本科,1-3年,500-1000人,民营公司,苏州瑞翼信息技术有限公司,数据分析,16.0,12.0,20.0,,False,苏州
41727,资深数据分析师,20K-35K,北京,本科,5-10年,150-500人,合资,北京创智优品科技有限公司,数据分析,27.5,20.0,35.0,,False,北京
41726,数据分析实习生,4K-5K,广州,本科,在校/应届,50-150人,民营公司,广州艾德旺斯珠宝科技有限公司,数据分析,4.5,4.0,5.0,,False,广州
41725,医药数据分析,1K-2K,南京,本科,在校/应届,500-1000人,上市公司,正大天晴药业集团股份有限公司,数据分析,1.5,1.0,2.0,,False,南京
41724,数据分析实习生,1K-2K,深圳,本科,经验不限,50-150人,外资(非欧美),深圳市前海房极客网络科技有限公司,数据分析,1.5,1.0,2.0,,False,深圳
41723,传播数据分析实习生,1K-2K,北京,本科,经验不限,150-500人,外资(欧美),中国科学院计算机网络信息中心,数据分析,1.5,1.0,2.0,,False,北京
41722,数据分析师,12K-24K,苏州,本科,1-3年,少于50人,上市公司,苏州瑞翼信息技术有限公司,数据分析,18.0,12.0,24.0,,False,苏州
41721,数据分析,15K-30K,北京,本科,3-5年,150-500人,民营公司,北京萌宝科技有限公司,数据分析,22.5,15.0,30.0,,False,北京
41720,高级数据分析师,20K-30K,成都,本科,5-10年,500-1000人,国企,昆仑智汇数据科技（北京）有限公司,数据分析,25.0,20.0,30.0,,False,成都
41719,数据分析师,15K-25K,深圳,本科,3-5年,少于50人,民营公司,深圳市睿服科技有限公司,数据分析,20.0,15.0,25.0,,False,深圳
41718,数据分析师,4K-8K,郑州,大专,1-3年,10000人以上,国企,郑州红翊商贸有限公司,数据分析,6.0,4.0,8.0,,False,郑州
41717,数据分析师,7K-10K,成都,本科,1-3年,5000-10000人,民营公司,中天浩会计师事务所有限公司,数据分析,8.5,7.0,10.0,,False,成都
41716,数据分析师,15K-30K,广州,本科,1-3年,500-1000人,民营公司,广发银行股份有限公司信用卡中心,数据分析,22.5,15.0,30.0,,False,广州
41715,数据分析师,20K-40K,北京,本科,3-5年,少于50人,民营公司,北京必来屋网络科技有限公司,数据分析,30.0,20.0,40.0,,False,北京
41714,数据分析师,20K-40K,北京,本科,5-10年,少于50人,合资,北京三快在线科技有限公司,数据分析,30.0,20.0,40.0,,False,北京
41713,数据分析,12K-20K,苏州,本科,1-3年,1000-5000人,民营公司,苏州瑞翼信息技术有限公司,数据分析,16.0,12.0,20.0,,False,苏州
41712,资深数据分析师,20K-35K,北京,本科,5-10年,50-150人,民营公司,北京创智优品科技有限公司,数据分析,27.5,20.0,35.0,,False,北京
41711,数据分析实习生,4K-5K,广州,本科,在校/应届,10000人以上,外资(欧美),广州艾德旺斯珠宝科技有限公司,数据分析,4.5,4.0,5.0,,False,广州
41710,医药数据分析,1K-2K,南京,本科,在校/应届,5000-10000人,民营公司,正大天晴药业集团股份有限公司,数据分析,1.5,1.0,2.0,,False,南京
41709,数据分析实习生,1K-2K,深圳,本科,经验不限,500-1000人,民营公司,深圳市前海房极客网络科技有限公司,数据分析,1.5,1.0,2.0,,False,深圳
41708,传播数据分析实习生,1K-2K,北京,本科,经验不限,1000-5000人,上市公司,中国科学院计算机网络信息中心,数据分析,1.5,1.0,2.0,,False,北京
41707,数据分析师,12K-24K,苏州,本科,1-3年,500-1000人,民营公司,苏州瑞翼信息技术有限公司,数据分析,18.0,12.0,24.0,,False,苏州
41706,数据分析,15K-30K,北京,本科,3-5年,150-500人,国企,北京萌宝科技有限公司,数据分析,22.5,15.0,30.0,,False,北京
41705,高级数据分析师,20K-30K,成都,本科,5-10年,少于50人,事业单位,昆仑智汇数据科技（北京）有限公司,数据分析,25.0,20.0,30.0,,False,成都
41704,数据分析师,15K-25K,深圳,本科,3-5年,1000-5000人,民营公司,深圳市睿服科技有限公司,数据分析,20.0,15.0,25.0,,False,深圳
41703,数据分析师,4K-8K,郑州,大专,1-3年,1000-5000人,民营公司,郑州红翊商贸有限公司,数据分析,6.0,4.0,8.0,,False,郑州
41702,数据分析师,7K-10K,成都,本科,1-3年,150-500人,民营公司,中天浩会计师事务所有限公司,数据分析,8.5,7.0,10.0,,False,成都
41701,数据分析师,15K-30K,广州,本科,1-3年,150-500人,上市公司,广发银行股份有限公司信用卡中心,数据分析,22.5,15.0,30.0,,False,广州
41700,数据分析师,20K-40K,北京,本科,3-5年,150-500人,上市公司,北京必来屋网络科技有限公司,数据分析,30.0,20.0,40.0,,False,北京
